city_name,city_code,year,special_municipality,happiness_ranking,happiness_score
Taipei City,A,2020,Special Municipality,1,646.31
Tainan City,D,2020,Special Municipality,2,598.46
Taoyuan City,H,2020,Special Municipality,3,590.55
New Taipei City,F,2020,Special Municipality,4,576.94
Taichung City,B,2020,Special Municipality,5,565.7
Kaohsiung City,E,2020,Special Municipality,6,533.65
Lienchiang County,Z,2020,Non-Special Municipality,1,694.4
Hsinchu City,O,2020,Non-Special Municipality,2,636.35
Kinmen County,W,2020,Non-Special Municipality,3,599.54
Yilan County,G,2020,Non-Special Municipality,4,549.71
Pingtung County,T,2020,Non-Special Municipality,5,529.93
Taitung County,V,2020,Non-Special Municipality,6,529.52
Hualien County,U,2020,Non-Special Municipality,7,517.67
Penghu County,X,2020,Non-Special Municipality,8,512.51
Chiayi City,I,2020,Non-Special Municipality,9,510.35
Keelung City,C,2020,Non-Special Municipality,10,507.73
Chiayi County,Q,2020,Non-Special Municipality,11,507.28
Hsinchu County,J,2020,Non-Special Municipality,12,490.85
Changhua County,N,2020,Non-Special Municipality,13,488.93
Nantou County,M,2020,Non-Special Municipality,14,483.48
Miaoli County,K,2020,Non-Special Municipality,15,449.92
Yunlin County,P,2020,Non-Special Municipality,16,423.63
Taipei City,A,2021,Special Municipality,1,657.89
Taichung City,B,2021,Special Municipality,2,640.65
Tainan City,D,2021,Special Municipality,3,594.72
New Taipei City,F,2021,Special Municipality,4,568.36
Taoyuan City,H,2021,Special Municipality,5,549.21
Kaohsiung City,E,2021,Special Municipality,6,523.32
Lienchiang County,Z,2021,Non-Special Municipality,1,695.37
Hsinchu City,O,2021,Non-Special Municipality,2,662.91
Kinmen County,W,2021,Non-Special Municipality,3,626.35
Yilan County,G,2021,Non-Special Municipality,4,579.39
Taitung County,V,2021,Non-Special Municipality,5,577.89
Hualien County,U,2021,Non-Special Municipality,6,570.59
Chiayi City,I,2021,Non-Special Municipality,7,568.7
Pingtung County,T,2021,Non-Special Municipality,8,557.16
Penghu County,X,2021,Non-Special Municipality,9,537.45
Hsinchu County,J,2021,Non-Special Municipality,10,529.87
Chiayi County,Q,2021,Non-Special Municipality,11,525.09
Changhua County,N,2021,Non-Special Municipality,12,522.69
Keelung City,C,2021,Non-Special Municipality,13,472.1
Yunlin County,P,2021,Non-Special Municipality,14,462.76
Miaoli County,K,2021,Non-Special Municipality,15,459.81
Nantou County,M,2021,Non-Special Municipality,16,454.42
Taipei City,A,2022,Special Municipality,1,640.8
Kaohsiung City,E,2022,Special Municipality,2,638.8
Tainan City,D,2022,Special Municipality,3,624
Taoyuan City,H,2022,Special Municipality,4,617.6
Taichung City,B,2022,Special Municipality,5,614.4
New Taipei City,F,2022,Special Municipality,6,571.2
Lienchiang County,Z,2022,Non-Special Municipality,1,658.8
Hsinchu City,O,2022,Non-Special Municipality,2,596
Kinmen County,W,2022,Non-Special Municipality,3,587.6
Taitung County,V,2022,Non-Special Municipality,4,563.2
Yilan County,G,2022,Non-Special Municipality,5,554.8
Hsinchu County,J,2022,Non-Special Municipality,6,544.8
Pingtung County,T,2022,Non-Special Municipality,7,542.4
Chiayi City,I,2022,Non-Special Municipality,8,537.2
Chiayi County,Q,2022,Non-Special Municipality,9,515.2
Changhua County,N,2022,Non-Special Municipality,10,514
Hualien County,U,2022,Non-Special Municipality,11,512.4
Penghu County,X,2022,Non-Special Municipality,12,492.8
Yunlin County,P,2022,Non-Special Municipality,13,490
Nantou County,M,2022,Non-Special Municipality,13,490
Keelung City,C,2022,Non-Special Municipality,15,463.6
Miaoli County,K,2022,Non-Special Municipality,16,440.4
Kaohsiung City,E,2023,Special Municipality,1,644.76
Taichung City,B,2023,Special Municipality,2,641.27
Taipei City,A,2023,Special Municipality,3,633.97
Tainan City,D,2023,Special Municipality,4,560.32
Taoyuan City,H,2023,Special Municipality,5,529.21
New Taipei City,F,2023,Special Municipality,6,408.57
Lienchiang County,Z,2023,Non-Special Municipality,1,683.58
Chiayi City,I,2023,Non-Special Municipality,2,627.94
Kinmen County,W,2023,Non-Special Municipality,3,624.9
Penghu County,X,2023,Non-Special Municipality,4,565.08
Chiayi County,Q,2023,Non-Special Municipality,5,550.79
Hualien County,U,2023,Non-Special Municipality,6,547.07
Taitung County,V,2023,Non-Special Municipality,7,546.58
Hsinchu City,O,2023,Non-Special Municipality,8,540
Yilan County,G,2023,Non-Special Municipality,9,538.73
Pingtung County,T,2023,Non-Special Municipality,10,536.83
Yunlin County,P,2023,Non-Special Municipality,11,523.49
Nantou County,M,2023,Non-Special Municipality,12,509.21
Hsinchu County,J,2023,Non-Special Municipality,13,499.68
Changhua County,N,2023,Non-Special Municipality,14,497.78
Miaoli County,K,2023,Non-Special Municipality,15,467.62
Keelung City,C,2023,Non-Special Municipality,16,409.21
Kaohsiung City,E,2024,Special Municipality,1,707.66
Taipei City,A,2024,Special Municipality,2,667.17
Taichung City,B,2024,Special Municipality,3,617.23
Taoyuan City,H,2024,Special Municipality,4,597.82
Tainan City,D,2024,Special Municipality,5,577.19
New Taipei City,F,2024,Special Municipality,6,491.79
Lienchiang County,Z,2024,Non-Special Municipality,1,689.02
Taitung County,V,2024,Non-Special Municipality,2,577.87
Hualien County,U,2024,Non-Special Municipality,3,574.56
Chiayi City,I,2024,Non-Special Municipality,4,573.79
Penghu County,X,2024,Non-Special Municipality,5,572.79
Kinmen County,W,2024,Non-Special Municipality,6,571.17
Pingtung County,T,2024,Non-Special Municipality,7,570.7
Hsinchu City,O,2024,Non-Special Municipality,8,561.45
Yilan County,G,2024,Non-Special Municipality,9,559.23
Chiayi County,Q,2024,Non-Special Municipality,10,546.08
Nantou County,M,2024,Non-Special Municipality,11,520.63
Miaoli County,K,2024,Non-Special Municipality,12,516.69
Changhua County,N,2024,Non-Special Municipality,13,511.93
Hsinchu County,J,2024,Non-Special Municipality,14,506.08
Yunlin County,P,2024,Non-Special Municipality,15,488.03
Keelung City,C,2024,Non-Special Municipality,16,444.4